ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB
Fulvimarina	4.441	14.694	0.024134675	0.068469545	Enriched	0.025	0.001
Klebsiella	-0.547	12.667	0.024626941	0.069727471	Depleted	0.012	0.017
Kiloniella	2.816	12.551	0.024882333	0.070311067	Enriched	0.008	0.001
Nitritalea	15.403	12.287	0.026133602	0.073270905	Enriched	0.004	0
Kofleria	15.347	12.425	0.02613435	0.073270905	Enriched	0.004	0
Brenneria	16.873	13.824	0.026134798	0.073270905	Enriched	0.012	0
Thioalkalispira	21.317	18.1	0.026135172	0.073270905	Enriched	0.261	0
Stenotrophomonas	6.197	19.183	0.026241324	0.073424253	Enriched	0.278	0.004
Algicola	3.888	14.01	0.02681182	0.074873713	Enriched	0.017	0.001
Rhodopirellula	1.669	17.967	0.026925044	0.075043043	Enriched	0.827	0.26
Alicyclobacillus	3.4	13.053	0.029309002	0.08152816	Enriched	0.016	0.002
Viridibacillus	-1.032	9.967	0.030466261	0.084582402	Depleted	0.002	0.003
Mycoplasma	5.87	13.135	0.030531338	0.084598485	Enriched	0.022	0
Methyloparacoccus	-0.237	12.136	0.032008819	0.088520512	Depleted	0.009	0.011
Thermolithobacter	2.339	11.772	0.032758224	0.089833299	Enriched	0.004	0.001
Ascidiaceihabitans	2.254	17.367	0.032944401	0.089833299	Enriched	0.123	0.026
Desulforegula	-12.887	8.966	0.03309513	0.089833299	Depleted	0	0.001
Amnibacterium	-12.887	8.966	0.03309513	0.089833299	Depleted	0	0.001
Smithella	-13.473	9.966	0.033095602	0.089833299	Depleted	0	0.001
Chromatium	-12.887	8.966	0.033095602	0.089833299	Depleted	0	0.001
Novispirillum	-12.888	8.967	0.033095602	0.089833299	Depleted	0	0.001
Methylorosula	-13.472	9.966	0.033095602	0.089833299	Depleted	0	0.001
Mogibacterium	-12.888	8.967	0.033095602	0.089833299	Depleted	0	0.001
Ponticaulis	0.386	18.342	0.033113045	0.089833299	Enriched	0.777	0.595
Erythromicrobium	5.43	16.242	0.033745089	0.091276796	Enriched	0.049	0.001
Portibacter	0.901	16.883	0.033773054	0.091276796	Enriched	0.678	0.363
Minicystis	15.832	12.424	0.034168156	0.091740871	Enriched	0.006	0
Hathewaya	14.703	10.551	0.034168255	0.091740871	Enriched	0.003	0
Natronincola	15.56	12.55	0.03416855	0.091740871	Enriched	0.005	0
Gramella	1.749	15.624	0.034201923	0.091740871	Enriched	0.084	0.025
Verrucomicrobium	1.782	11.774	0.034360785	0.091994072	Enriched	0.014	0.004
Methylothermus	3.376	16.165	0.03490215	0.093268479	Enriched	0.059	0.006
Cerasicoccus	-2.464	13.425	0.034977557	0.093295279	Depleted	0.005	0.026
Crocinitomix	0.705	15.908	0.035289826	0.09380742	Enriched	0.168	0.103
Actinoplanes	-0.834	14.721	0.035387765	0.09380742	Depleted	0.053	0.095
Olivibacter	2.217	14.92	0.035414271	0.09380742	Enriched	0.037	0.008
Mangroviflexus	-0.632	10.966	0.03545094	0.09380742	Depleted	0.004	0.006
Nocardiopsis	-1.085	11.551	0.035498253	0.09380742	Depleted	0.002	0.005
Runella	-0.014	11.551	0.036014414	0.094995506	Depleted	0.003	0.003
Litoricola	2.012	13.965	0.036605477	0.096376413	Enriched	0.018	0.005
Ramlibacter	-0.091	14.638	0.037676145	0.099012632	Depleted	0.048	0.051
Desulfonatronum	1.132	14.136	0.03784068	0.099262224	Enriched	0.044	0.02
Atopobium	1.459	11.288	0.038247565	0.100128268	Enriched	0.008	0.003
Blastochloris	2.194	11.967	0.038311166	0.100128268	Enriched	0.009	0.002
Alkanindiges	4.525	14.551	0.038969672	0.101663112	Enriched	0.026	0.001
Desulfonatronospira	4.135	17.965	0.039433497	0.102685401	Enriched	0.18	0.01
Wenyingzhuangia	6.181	18.446	0.040000909	0.103973219	Enriched	0.247	0.003
Desulfohalobium	2.623	11.287	0.04040281	0.104826927	Enriched	0.005	0.001
Mariniradius	3.623	12.136	0.040537666	0.104985932	Enriched	0.005	0
Nitratireductor	3.253	14.053	0.04145027	0.107154954	Enriched	0.022	0.002
Ilyobacter	0.911	13.551	0.043457901	0.112141817	Enriched	0.016	0.008
Pibocella	14.288	10.551	0.044759256	0.114271822	Enriched	0.002	0
Nakamurella	14.703	10.966	0.044761205	0.114271822	Enriched	0.003	0
Kocuria	15.288	12.873	0.044761205	0.114271822	Enriched	0.004	0
Sporobacter	19.215	17.064	0.044763674	0.114271822	Enriched	0.061	0
Subsaximicrobium	18.318	16.116	0.044763674	0.114271822	Enriched	0.033	0
Ornithinimicrobium	19.159	15.861	0.044763804	0.114271822	Enriched	0.059	0
Bradyrhizobium	2.723	12.551	0.045273118	0.115365607	Enriched	0.008	0.001
Kriegella	-0.009	13.92	0.04651761	0.118325544	Depleted	0.01	0.01
Thermoanaerobacter	-0.114	11.288	0.047080033	0.119543072	Depleted	0.004	0.004
Candidimonas	1.903	10.965	0.047236993	0.119728577	Enriched	0.006	0.002
Ideonella	1.62	16.58	0.047887023	0.12116096	Enriched	0.152	0.05
Marivirga	1.969	13.773	0.04956739	0.125190559	Enriched	0.03	0.008
Hydrocarboniphaga	3.459	11.967	0.049693295	0.125286805	Enriched	0.008	0.001
Desulfosalsimonas	0.013	11.551	0.050364474	0.126755034	NotSig	0.006	0.006
Dietzia	2.208	10.551	0.050506121	0.126887737	NotSig	0.004	0.001
Pontibacter	0.781	14.825	0.052115352	0.130466556	NotSig	0.048	0.028
Desulfatiglans	3.321	15.136	0.05215959	0.130466556	NotSig	0.027	0.003
