OTUID	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU_4171	Bacteria	Deferribacteres	Deferribacteres	Deferribacterales	Deferribacterales_incertae_sedis	Caldithrix	Caldithrix_palaeochoryensis
OTU_5416	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae_1	Paenibacillus	Paenibacillus_thermophilus
OTU_3653	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	Niabella	Niabella_tibetensis
OTU_4641	Bacteria	Parcubacteria	Unassigned	Unassigned	Unassigned	Parcubacteria_genera_incertae_sedis	
OTU_5166	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillales_incertae_sedis	Caldalkalibacillus	Caldalkalibacillus_uzonensis
OTU_5255	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Odoribacter	Odoribacter_splanchnicus
OTU_5922	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae	Natronocella	Natronocella_acetinitrilica
OTU_7068	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Stella	Stella_humosa
OTU_7021	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus	Paracoccus_fistulariae
OTU_7354	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	Blastopirellula	Blastopirellula_marina
OTU_4546	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Skermanella	Skermanella_xinjiangensis
OTU_4578	Bacteria	Chlamydiae	Chlamydiia	Chlamydiales	Parachlamydiaceae	Parachlamydia	Parachlamydia_acanthamoebae
OTU_5354	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_incertae_sedis	Unassigned	Cocleimonas	Cocleimonas_flava
OTU_7483	Bacteria	Armatimonadetes	Unassigned	Unassigned	Unassigned	Armatimonadetes_gp7	
