ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB
Bosea	1.248	14.721	2.21E-05	0.000209807	Enriched	0.139	0.058
Thermomarinilinea	-2.021	13.721	2.40E-05	0.000226745	Depleted	0.01	0.041
Leeuwenhoekiella	17.806	12.288	2.84E-05	0.000266981	Enriched	0.023	0
Prosthecobacter	0.412	15.233	3.25E-05	0.000303154	Enriched	0.212	0.159
Naumannella	-3.747	12.136	3.55E-05	0.000324533	Depleted	0.002	0.028
Alysiella	-6.996	16.759	3.57E-05	0.000324533	Depleted	0.003	0.372
Shinella	1.126	13.92	3.58E-05	0.000324533	Enriched	0.068	0.031
Tepidiphilus	-17.094	11.551	3.59E-05	0.000324533	Depleted	0	0.014
Desertibacter	-16.679	10.551	3.59E-05	0.000324533	Depleted	0	0.01
Fusibacter	5.031	15.195	3.95E-05	0.000354026	Enriched	0.16	0.005
Cohaesibacter	4.06	13.214	3.97E-05	0.000354026	Enriched	0.035	0.002
Planctopirus	2.713	11.288	4.25E-05	0.000376606	Enriched	0.023	0.003
Owenweeksia	-5.361	11.551	4.99E-05	0.000439901	Depleted	0	0.017
Fusobacterium	-1.162	12.552	5.64E-05	0.000485943	Depleted	0.019	0.042
Gynuella	-1.955	11.966	5.69E-05	0.000485943	Depleted	0.009	0.034
Sporomusa	18.451	13.425	5.69E-05	0.000485943	Enriched	0.036	0
Nioella	17.025	11.288	5.69E-05	0.000485943	Enriched	0.013	0
Alcaligenes	20.296	16.861	5.69E-05	0.000485943	Enriched	0.129	0
Aurantimonas	5.207	12.873	5.87E-05	0.000498954	Enriched	0.026	0.001
Insolitispirillum	-18.371	12.772	5.97E-05	0.000504279	Depleted	0	0.034
Tumebacillus	5.575	12.773	6.25E-05	0.000524368	Enriched	0.017	0
Arenibacter	6.319	14.095	6.41E-05	0.000534585	Enriched	0.028	0
Megamonas	5.574	12.424	6.51E-05	0.000540224	Enriched	0.017	0
Clostridium_XlVa	3.542	14.666	6.64E-05	0.000547606	Enriched	0.073	0.006
Idiomarina	-1.605	13.054	7.10E-05	0.000582465	Depleted	0.02	0.061
Nitrososphaera	-2.069	10.966	7.45E-05	0.00060649	Depleted	0.003	0.014
Oscillibacter	3.422	11.287	7.48E-05	0.00060649	Enriched	0.011	0.001
Maribacter	-3.843	13.358	8.61E-05	0.000694243	Depleted	0.004	0.06
Xanthobacter	2.712	12.965	9.32E-05	0.000746983	Enriched	0.037	0.006
Gp25	-16.579	10.966	9.88E-05	0.000780172	Depleted	0	0.01
Spongiivirga	-18.231	12.772	9.89E-05	0.000780172	Depleted	0	0.031
Joostella	-18.499	13.135	9.90E-05	0.000780172	Depleted	0	0.037
Tangfeifania	-1.86	12.874	0.000100834	0.000790602	Depleted	0.018	0.065
Solirubrobacter	-1.203	12.966	0.000109946	0.000856403	Depleted	0.036	0.083
Aureimonas	4.955	12.873	0.000110993	0.000856403	Enriched	0.022	0.001
Maribius	7.462	14.58	0.000111026	0.000856403	Enriched	0.123	0.001
Fictibacillus	16.347	11.551	0.000113362	0.000856582	Enriched	0.008	0
Wohlfahrtiimonas	17.579	13.873	0.000113426	0.000856582	Enriched	0.02	0
